name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Simon Larose,Canada,Tennis,Cocaine,/wiki/Simon_Larose,1978-06-28,-107.991707,61.0666922
Mehrullah Lassi,Pakistan,Boxing,Cannabis,/wiki/Mehrullah_Lassi,1979-11-24,71.247499,30.3308401
Pei-Lin Lee,Chinese Taipei,Weightlifting,Furosemide,/w/index.php?title=Pei-Lin_Lee&action=edit&redlink=1,,,
Lassouani Leila,France,Weightlifting,"Norandrosterone 4,9 ng/ml",/w/index.php?title=Lassouani_Leila&action=edit&redlink=1,,1.8883335,46.603354
Chun Leung Lau,Hong Kong,Swimming,Methandienone,/w/index.php?title=Chun_Leung_Lau&action=edit&redlink=1,,,
Matt Lawton,United States,Baseball,Boldenone,/wiki/Matt_Lawton,1971-11-30,,
Stan Lazaridis,Australia,Football (soccer),Finasteride,/wiki/Stan_Lazaridis,1972-08-16,134.755,-24.7761086
Larisa Lazutina,Russia,Cross-country skiing,NESP,/wiki/Larisa_Lazutina,1965-06-01,97.7453061,64.6863136
Fabien Le Bec,France,Water polo,Cannabis,/w/index.php?title=Fabien_Le_Bec&action=edit&redlink=1,,1.8883335,46.603354
Chris Leben,United States,Mixed martial arts,Stanozolol,/wiki/Chris_Leben,1980-07-21,,
Luc Leblanc,France,Cycling,Erythropoietin (EPO) (self admitted),/wiki/Luc_Leblanc,1966-08-04,1.8883335,46.603354
Yann Lejuste,France,Water polo,cannabis,/w/index.php?title=Yann_Lejuste&action=edit&redlink=1,,1.8883335,46.603354
Rasa Leleivytė,Lithuania,Cycling,EPO,/wiki/Rasa_Leleivyt%C4%97,1988-07-22,23.7499997,55.3500003
Benoit Lemeunier,France,Swimming,Cannabis,/w/index.php?title=Benoit_Lemeunier&action=edit&redlink=1,,1.8883335,46.603354
Kayle Leogrande,United States,Cycling,Erythropoietin (non-analytical positive),/wiki/Kayle_Leogrande,1977-03-29,,
Dimitru Leonard,Romania,Weightlifting,Norandrosterone,/w/index.php?title=Dimitru_Leonard&action=edit&redlink=1,,24.6859225,45.9852129
Jeffrey Leonard,United States,Baseball,Cocaine,/wiki/Jeffrey_Leonard,1955-09-22,,
Vladimir Leontiev,Russia,Swimming,Cannabis,/wiki/Vladimir_Leontiev,,97.7453061,64.6863136
Kimo Leopoldo,United States,Mixed martial arts,Stanozolol,/wiki/Kimo_Leopoldo,1968-01-04,,
Varvara Lepchenko,United States,Tennis,"Meldonium (Provisionally suspended) Adrafinil, and metabolite modafinil (Suspended for four years)",/wiki/Varvara_Lepchenko,1986-05-21,,
Stephen Letchford,England,Ten-pin bowling,Benzoylecgonine,/w/index.php?title=Stephen_Letchford&action=edit&redlink=1,,,
Nick Leventis,England,Auto racing,Anabolic steroids,/wiki/Nick_Leventis,1980-01-31,,
Nikita Leviakov,Russia,Swimming,"Stanozolol, Dehydrochlormethyltestosterone",/w/index.php?title=Nikita_Leviakov&action=edit&redlink=1,,97.7453061,64.6863136
Clayton Lewis,New Zealand,Football (soccer),Salbutamol,/wiki/Clayton_Lewis,,,
Kristen Lewis,United States,Swimming,Pseudoephedrine,/w/index.php?title=Kristen_Lewis&action=edit&redlink=1,,,
Rashard Lewis,United States,Basketball,Steroids (ten-game suspension),/wiki/Rashard_Lewis,1979-08-08,,
Manukyan Liana,Armenia,Weightlifting,Metandienone,/w/index.php?title=Manukyan_Liana&action=edit&redlink=1,,44.6736646,40.7696272
Yohan Lidon,France,"Kickboxing, Muay Thai",Heptaminol,/wiki/Yohan_Lidon,1983-03-07,1.8883335,46.603354
Semen Linder,Kazakhstan,Weightlifting,Stanozolol,/w/index.php?title=Semen_Linder&action=edit&redlink=1,,66.7780818,48.1012954
Li Ning,China,Swimming,,/wiki/Li_Ning,1963-03-10,104.999927,35.000074
Li Zhesi,China,Swimming,EPO,/wiki/Li_Zhesi,,104.999927,35.000074
Valiantsina Liakhavets,Belarus,Weightlifting,,/w/index.php?title=Valiantsina_Liakhavets&action=edit&redlink=1,,27.6971358,53.4250605
Rafael Liechti,Switzerland,Water polo,Cannabis,/w/index.php?title=Rafael_Liechti&action=edit&redlink=1,,8.2319736,46.7985624
Hans-Gunnar Liljenwall,Sweden,Modern pentathlon,Alcohol,/wiki/Hans-Gunnar_Liljenwall,1941-07-09,14.5208584,59.6749712
Mads Lind,Denmark,Handball,Anabolic steroids,/wiki/Mads_Lind,1980-07-07,10.3333283,55.670249
Lourdes Domínguez Lino,Spain,Tennis,Cocaine,/wiki/Lourdes_Dom%C3%ADnguez_Lino,1981-03-31,-4.8379791,39.3260685
Marina Lisogor,Ukraine,Cross-country skiing,Trimetazidine,/wiki/Marina_Lisogor,1983-05-11,31.2718321,49.4871968
Yuliya Litvina,Kazakhstan,Swimming,Methylhexaneamine,/wiki/Yuliya_Litvina,1993-06-04,66.7780818,48.1012954
Alexander Litvintchev,Russia,Rowing,,/w/index.php?title=Alexander_Litvintchev&action=edit&redlink=1,,97.7453061,64.6863136
Liu Bingyao,China,Swimming,Clenbuterol,/w/index.php?title=Liu_Bingyao&action=edit&redlink=1,,104.999927,35.000074
Jing Liu,China,Swimming,Prednisone,/wiki/Liu_Jing_(swimmer),1990-03-08,104.999927,35.000074
Liu Xingchen,China,Swimming,Clenbuterol,/w/index.php?title=Liu_Xingchen&action=edit&redlink=1,,104.999927,35.000074
Jake Livermore,England,Football (soccer),Cocaine,/wiki/Jake_Livermore,1989-11-14,,
Jose Llanos Quiceno,Colombia,Water polo,"THC, Cannabis",/w/index.php?title=Jose_Llanos_Quiceno&action=edit&redlink=1,,-72.9088133,4.099917
Ryan Llewellyn,United Kingdom,Boxing,Methylhexaneamine,/w/index.php?title=Ryan_Llewellyn&action=edit&redlink=1,,,
Paul Lo Duca,United States,Baseball,Steroids,/wiki/Paul_Lo_Duca,1972-04-12,,
Aleh Loban,Belarus,Weightlifting,Metandienone,/wiki/Aleh_Loban,,27.6971358,53.4250605
Romain Locher,France,Water polo,cannabis,/w/index.php?title=Romain_Locher&action=edit&redlink=1,,1.8883335,46.603354
Joshua Loges,Germany,Swimming,Clenbuterol,/w/index.php?title=Joshua_Loges&action=edit&redlink=1,,10.4478313,51.1638175
Héctor Lombard,Australia,Mixed martial arts (MMA),Desoxymethyltestosterone,/wiki/H%C3%A9ctor_Lombard,1978-02-02,134.755,-24.7761086
Boris Loncaric,Croatia,Swimming,Methylhexaneamine,/w/index.php?title=Boris_Loncaric&action=edit&redlink=1,,15.6575209,45.3658443
Simos Loukas,Greece,Water polo,Methylphenidate,/w/index.php?title=Simos_Loukas&action=edit&redlink=1,,21.9877132,38.9953683
Paulo Da Silva Loureiro,Portugal,Volleyball,Cannabinoids,/w/index.php?title=Paulo_Da_Silva_Loureiro&action=edit&redlink=1,,-8.1353519,39.6621648
Sebastien Louveau,France,Swimming,Cannabis,/w/index.php?title=Sebastien_Louveau&action=edit&redlink=1,,1.8883335,46.603354
Natalya Lovtsova,Russia,Swimming,,/wiki/Natalya_Lovtsova,1988-04-14,97.7453061,64.6863136
Jake Lowther,United Kingdom,Motorcycling,,/w/index.php?title=Jake_Lowther&action=edit&redlink=1,,,
Brenda Lozaique,Seychelles,Weightlifting,Metandienone,/w/index.php?title=Brenda_Lozaique&action=edit&redlink=1,,55.4540146,-4.6574977
Miryan Lozi,Albania,Weightlifting,,/w/index.php?title=Miryan_Lozi&action=edit&redlink=1,,19.9999619,41.000028
Lü Bin,China,Swimming,,/wiki/L%C3%BC_Bin_(swimmer),,104.999927,35.000074
Lu Leyujia,China,Swimming,Drostanolone,/w/index.php?title=Lu_Leyujia&action=edit&redlink=1,,104.999927,35.000074
Lu Meng,China,Wrestling,Diuretic,/wiki/Lu_Meng,219,104.999927,35.000074
Frank Luck,Germany,Biathlon,Turinabol (self-admitted),/wiki/Frank_Luck,1967-12-05,10.4478313,51.1638175
Lebron Luis,Puerto Rico,Weightlifting,Methylhexaneamine,/w/index.php?title=Lebron_Luis&action=edit&redlink=1,,,
Vladislav Lukanin,Russia,Weightlifting,"Noraxondrolone, Epioxandrolone",/w/index.php?title=Vladislav_Lukanin&action=edit&redlink=1,,97.7453061,64.6863136
Zach Lund,United States,Skeleton,Finasteride,/wiki/Zach_Lund,1979-03-22,,
Luo Meng,China,Wrestling,Diuretic,/w/index.php?title=Luo_Meng&action=edit&redlink=1,,104.999927,35.000074
Zsolt Lutter,Hungary,Swimming,Refusal to submit to doping test,/w/index.php?title=Zsolt_Lutter&action=edit&redlink=1,,19.5060937,47.1817585
Evgeny Luzyanin,Russia,Rowing,,/w/index.php?title=Evgeny_Luzyanin&action=edit&redlink=1,,97.7453061,64.6863136
Kerry Lynch,United States,Nordic combined,Blood doping,/wiki/Kerry_Lynch,1957-07-31,,
Ma Wenhua,China,Weightlifting,,/w/index.php?title=Ma_Wenhua&action=edit&redlink=1,,104.999927,35.000074
Mbulelo Mabizela,South Africa,Football (soccer),Cannabis,/wiki/Mbulelo_Mabizela,1980-09-16,,
Enzo Maccarinelli,United Kingdom,Boxing,Methylhexaneamine (MHA),/wiki/Enzo_Maccarinelli,1980-08-20,,
Adam MacDougall,Australia,Rugby league,"Ephedrine, Amfepramone",/wiki/Adam_MacDougall,1975-05-08,134.755,-24.7761086
Ariel Machado,Brazil,Kickboxing,,/wiki/Ariel_Machado,1987-05-15,-53.2,-10.3333333
Krishnan Madasamy,India,Weightlifting,,/w/index.php?title=Krishnan_Madasamy&action=edit&redlink=1,,78.6677428,22.3511148
Wesley Madhevere,Zimbabwe,Cricket,Recreational drugs,/wiki/Wesley_Madhevere,2000-09-04,29.7468414,-18.4554963
Gustavo Madureira,Portugal,Swimming,Terbutaline,/w/index.php?title=Gustavo_Madureira&action=edit&redlink=1,,-8.1353519,39.6621648
Gouda Maged,Egypt,Weightlifting,"Stanozolol, Hydroxystanozolol",/w/index.php?title=Gouda_Maged&action=edit&redlink=1,,29.2675469,26.2540493
Brian Magee,United Kingdom,Boxing,Oxilofrine,/wiki/Brian_Magee,1975-06-09,,
Maurren Maggi,Brazil,Athletics,Clostebol,/wiki/Maurren_Maggi,1976-06-25,-53.2,-10.3333333
Emmanuel Magnien,France,Cycling,Corticoids,/wiki/Emmanuel_Magnien,1971-05-07,1.8883335,46.603354
Salma Hassan Mahmoud,Egypt,Volleyball,Steroids,/w/index.php?title=Salma_Hassan_Mahmoud&action=edit&redlink=1,,29.2675469,26.2540493
Sean Mahoney,United States,Swimming,Methylhexaneamine,/wiki/Sean_Mahoney,1988-08-12,,
Bill Mahood,Canada,Mixed martial arts,Drostanolone,,,-107.991707,61.0666922
Roman Maikin,Russia,Cycling,,/wiki/Roman_Maikin,1990-08-14,97.7453061,64.6863136
Reni Maitua,Australia,Rugby (NRL),Clenbuterol,/wiki/Reni_Maitua,1982-06-11,134.755,-24.7761086
Igor Majcen,Slovenia,Swimming,,/wiki/Igor_Majcen,1969-08-24,14.8153333,46.1199444
Aleksandra Majda,Poland,Swimming,Ephedrine,/w/index.php?title=Aleksandra_Majda&action=edit&redlink=1,,19.134422,52.215933
Aleksej Makarov,Croatia,Volleyball,Methylhexaneamine,/w/index.php?title=Aleksej_Makarov&action=edit&redlink=1,,15.6575209,45.3658443
Joel Makencie,Cuba,Weightlifting,Metandienone,/w/index.php?title=Joel_Makencie&action=edit&redlink=1,,-80.8328748,23.0131338
Adam Maklari,Hungary,Water polo,Methandienone,/w/index.php?title=Adam_Maklari&action=edit&redlink=1,,19.5060937,47.1817585
Nikita Maksimov,Russia,Swimming,Oral-Turinabol,/w/index.php?title=Nikita_Maksimov&action=edit&redlink=1,,97.7453061,64.6863136
Jehad Malalla,Brunei,Weightlifting,Methylhexanamine,/w/index.php?title=Jehad_Malalla&action=edit&redlink=1,,114.5653908,4.4137155
Xavier Malisse,Belgium,Tennis,Missed test,/wiki/Xavier_Malisse,1980-07-19,4.6667145,50.6402809
Daniel Maloney,United Kingdom,Weightlifting,Anabolic steroids,/w/index.php?title=Daniel_Maloney_(weightlifter)&action=edit&redlink=1,,,
Daniel Malvino,Brazil,Wrestling,Anabolic steroids,/w/index.php?title=Daniel_Malvino&action=edit&redlink=1,,-53.2,-10.3333333
Mitchil Mann,Australia,Weightlifting,Clenbuterol,/w/index.php?title=Mitchil_Mann&action=edit&redlink=1,,134.755,-24.7761086
Milka Maneva,Bulgaria,Weightlifting,Steroids,/wiki/Milka_Maneva,,25.4856617,42.6073975
Andrea Mangiante,Italy,Swimming,Testosterone,/wiki/Andrea_Mangiante,1976-07-01,12.674297,42.6384261
Daniele Mannini,Italy,Football (soccer),Missed test,/wiki/Daniele_Mannini,1983-10-25,12.674297,42.6384261
Ahmed Mansour,Egypt,Wrestling,Methylhexaneamine,/w/index.php?title=Ahmed_Mansour_(wrestler)&action=edit&redlink=1,,29.2675469,26.2540493
Eero Mäntyranta,Finland,Cross-country skiing,Amphetamine,/wiki/Eero_M%C3%A4ntyranta,1937-11-20,25.9209164,63.2467777
Ilya Manukhov,Canada,Wrestling,Letrozole,/w/index.php?title=Ilya_Manukhov&action=edit&redlink=1,,-107.991707,61.0666922
Jesús Manzano,Spain,Cycling,"EPO, Cortisone, testosterone, human growth hormone, nandrolone, oxyglobin",/wiki/Jes%C3%BAs_Manzano,1978-05-12,-4.8379791,39.3260685
Diego Maradona,Argentina,Football (soccer),"Cocaine (1991), Ephedrine (1994), Cocaine metabolites (1997)",/wiki/Diego_Maradona,1960-10-30,-64.9672817,-34.9964963
Lisa Marangon,Australia,Triathlon,Ostarine,/wiki/Lisa_Marangon,,134.755,-24.7761086
Kornelia Marek,Poland,Cross-Country Skiing,Erythropoietin (EPO),/wiki/Kornelia_Marek,1985-08-03,19.134422,52.215933
Ohman Maria,India,Weightlifting,Metandienone,/w/index.php?title=Ohman_Maria&action=edit&redlink=1,,78.6677428,22.3511148
Peter Markoch,Croatia,Swimming,Cannabis,/w/index.php?title=Peter_Markoch&action=edit&redlink=1,,15.6575209,45.3658443
Georgi Markov,Bulgaria,Weightlifting,"Steroids, tampering with test",/wiki/Georgi_Markov_(weightlifter),1978-03-12,25.4856617,42.6073975
Ivan Markov,Bulgaria,Weightlifting,Steroids,/wiki/Ivan_Markov_(weightlifter),1988-09-14,25.4856617,42.6073975
Nate Marquardt,United States,mixed martial arts,Nandrolone,/wiki/Nate_Marquardt,1979-04-20,,
Mariana Marques,Portugal,Swimming,Methylprednisolone,/w/index.php?title=Mariana_Marques&action=edit&redlink=1,,-8.1353519,39.6621648
Nidia Rosa Pardo Marrugo,Colombia,Weightlifting,,/w/index.php?title=Nidia_Rosa_Pardo_Marrugo&action=edit&redlink=1,,-72.9088133,4.099917
Cory Marsh,Canada,Gymnastics,Methylhexaneamine,/w/index.php?title=Cory_Marsh&action=edit&redlink=1,,-107.991707,61.0666922
Mark Marshall,Jamaica,Football (soccer),methylhexaneamine,/wiki/Mark_Marshall,1987-05-05,-77.3947693,18.1850507
Starling Marte,Dominican Republic,Baseball,Nandrolone,/wiki/Starling_Marte,1988-10-09,,
Benjamin Martel,Canada,Cycling,Testosterone,/w/index.php?title=Benjamin_Martel&action=edit&redlink=1,,-107.991707,61.0666922
Matsa Martha,Greece,Swimming,Stanozolol,/w/index.php?title=Matsa_Martha&action=edit&redlink=1,,21.9877132,38.9953683
Carlos Martinez,Canada,Canadian football,Methylhexaneamine,/w/index.php?title=Carlos_Martinez_(Canadian_football)&action=edit&redlink=1,,-107.991707,61.0666922
Maria Martinez,Argentina,Weightlifting,Boldenone,/w/index.php?title=Mar%C3%ADa_Belen_Mart%C3%ADnez&action=edit&redlink=1,,-64.9672817,-34.9964963
Marvin Martinez,El Salvador,Weightlifting,,/wiki/Marvin_Martinez,2019,,
Paolo Martini,Italy,Water polo,Cannabis,/w/index.php?title=Paolo_Martini&action=edit&redlink=1,,12.674297,42.6384261
Claudia Martino,Italy,Water polo,Pseudoephedrine,/w/index.php?title=Claudia_Martino&action=edit&redlink=1,,12.674297,42.6384261
Paloma Garcia Martorell,Brazil,Water polo,Methylhexaneamine,/w/index.php?title=Paloma_Garcia_Martorell&action=edit&redlink=1,,-53.2,-10.3333333
Landon Marzullo,United States,Swimming,Cannabis,/w/index.php?title=Landon_Marzullo&action=edit&redlink=1,,,
Saeed Abdul Hameed Marwan,Yemen,Weightlifting,,/w/index.php?title=Saeed_Abdul_Hameed_Marwan&action=edit&redlink=1,,47.8915271,16.3471243
Amina Maskhadova,Russia,Weightlifting,,/w/index.php?title=Amina_Maskhadova&action=edit&redlink=1,,97.7453061,64.6863136
Mohamed Masoud,Egypt,Weightlifting,Methylhexanamine,/wiki/Mohamed_Masoud_(weightlifter),1984-01-11,29.2675469,26.2540493
Rodolfo Massi,Italy,Cycling,Cortisone,/wiki/Rodolfo_Massi,1965-09-17,12.674297,42.6384261
Petar Majstorović,Switzerland,Kickboxing,,/wiki/Petar_Majstorovi%C4%87,1975-02-05,8.2319736,46.7985624
Kaloyan Zdravkov Matliev,Bulgaria,Swimming,Methylhexaneamine,/w/index.php?title=Kaloyan_Zdravkov_Matliev&action=edit&redlink=1,,25.4856617,42.6073975
Martha Matsa,Greece,Swimming,Stanozolol,/wiki/Martha_Matsa,1987-04-05,21.9877132,38.9953683
Maxim Matveyev,Russia,Weightlifting,,/w/index.php?title=Maxim_Matveyev&action=edit&redlink=1,,97.7453061,64.6863136
Tomas Matykiewicz,Czech Republic,Weightlifting,,/wiki/Tomas_Matykiewicz,1982-12-04,,
Brandon Mavuta,Zimbabwe,Cricket,Recreational drugs,/wiki/Brandon_Mavuta,1997-03-04,29.7468414,-18.4554963
Jeremy Mayfield,United States,Auto racing,Amphetamine,/wiki/Jeremy_Mayfield,1969-05-27,,
O. J. Mayo,United States,Basketball,Dehydroepiandrosterone,/wiki/O._J._Mayo,1987-11-05,,
Filip Mazanik,Czech Republic,Water polo,Cannabis,/w/index.php?title=Filip_Mazanik&action=edit&redlink=1,,,
Iain McCorkindale,England,Ten-pin bowling,Benzoylecgonine,/w/index.php?title=Iain_McCorkindale&action=edit&redlink=1,,,
Sean McCully,United States,Mixed martial arts,Nandrolone,/w/index.php?title=Sean_McCully&action=edit&redlink=1,,,
Kevin McDine,England,Darts,Cocaine,/wiki/Kevin_McDine,1985-05-23,,
Mark McGwire,United States,Baseball,Steroids (self-admitted after retirement; Major League Baseball did not test for steroids during his career),/wiki/Mark_McGwire,1963-10-01,,
Duncan McLean,Canada,Canadian football,,/w/index.php?title=Duncan_McLean_(Canadian_football)&action=edit&redlink=1,,-107.991707,61.0666922
Brigitte McMahon,Switzerland,Triathlon,Erythropoietin,/wiki/Brigitte_McMahon,,8.2319736,46.7985624
Tim McNeill,United States,Gymnastics,Triamcinolone acetonide,/w/index.php?title=Tim_McNeill&action=edit&redlink=1,,,
David Meca,Spain,Swimming,Nandrolone,/wiki/David_Meca,1974-02-01,-4.8379791,39.3260685
Ericka Medrano,El Salvador,Weightlifting,,/w/index.php?title=Ericka_Medrano&action=edit&redlink=1,,,
Nishant Mehra,India,Football (soccer),THC,/w/index.php?title=Nishant_Mehra&action=edit&redlink=1,,78.6677428,22.3511148
Roland Meier,Switzerland,Cycling,Erythropoietin (EPO),/wiki/Roland_Meier,1967-11-22,8.2319736,46.7985624
Birgit Meineke,East Germany,Swimming,Turinabol (self-admitted),/wiki/Birgit_Meineke,1964-07-04,,
Filip Meirhaeghe,Belgium,Cycling,Erythropoietin (EPO),/wiki/Filip_Meirhaeghe,1971-03-05,4.6667145,50.6402809
Jenrry Mejía,Dominican Republic,Baseball,"Stanozolol, Boldenone",/wiki/Jenrry_Mej%C3%ADa,1989-10-11,,
Oussama Mellouli,Tunisia,Swimming,Amphetamine,/wiki/Oussama_Mellouli,1984-02-16,9.400138,33.8439408
Marcelo Melo,Brazil,Tennis,Isometheptene,/wiki/Marcelo_Melo,1983-09-23,-53.2,-10.3333333
Sergio Mendoza,Honduras,Football (soccer),Steroid,/wiki/Sergio_Mendoza,1981-05-23,-86.0755145,15.2572432
Joey Meneses,Mexico,Baseball,Stanozolol,/wiki/Joey_Meneses,1992-05-06,-102.0077097,23.6585116
Simon Mensing,England,Football (soccer),Methylhexaneamine,/wiki/Simon_Mensing,1982-06-27,,
Eddy Merckx,Belgium,Cycling,"Reactivan, lodinated glycerol, Pemoline",/wiki/Eddy_Merckx,1945-06-17,4.6667145,50.6402809
Jordan Meredith,Canada,Canadian football,,/wiki/Jordan_Meredith,1998-01-04,-107.991707,61.0666922
Shawne Merriman,United States,American football,Steroid,/wiki/Shawne_Merriman,1984-05-25,,
Fadi Merza,Austria,Kickboxing,,/wiki/Fadi_Merza,1978-03-08,14.12456,47.59397
Kevin Mestdagh,Belgium,Water polo,Cocaine,/w/index.php?title=Kevin_Mestdagh&action=edit&redlink=1,,4.6667145,50.6402809
Nazih Samer Mezayek,Jordan,Swimming,Nandrolone,/w/index.php?title=Nazih_Samer_Mezayek&action=edit&redlink=1,,36.941628,31.1667049
Ammar Mezghiche,Algeria,Weightlifting,Norandrosterone,/w/index.php?title=Ammar_Mezghiche&action=edit&redlink=1,,2.9999825,28.0000272
Piotr Michalski,Poland,Water polo,Cannabis,/wiki/Piotr_Michalski,1994-07-27,19.134422,52.215933
Jeff Michels,United States,Weightlifting,Testosterone,/wiki/Jeff_Michels,,,
Luca Michieletto,Italy,Water polo,Cannabis,/w/index.php?title=Luca_Michieletto&action=edit&redlink=1,,12.674297,42.6384261
Ninel Miculsecu,Romania,Weightlifting,T/E 19,/w/index.php?title=Ninel_Miculsecu&action=edit&redlink=1,,24.6859225,45.9852129
Mark Middleton,United Kingdom,Weightlifting,"Methyltestosterone, testosterone",/w/index.php?title=Mark_Middleton_(weightlifter)&action=edit&redlink=1,,,
Mike Mihelic,Canada,Canadian football,,/wiki/Mike_Mihelic,,-107.991707,61.0666922
Mikayel Mikayelyan,Armenia,Weightlifting,Stanozolol,/wiki/Mikayel_Mikayelyan,,44.6736646,40.7696272
Andrei Mikhalyov,Belarus,Ice hockey,Methylhexaneamine,/w/index.php?title=Andrei_Mikhalyov&action=edit&redlink=1,,27.6971358,53.4250605
Youri Mikulchin,Russia,Water polo,Carphedon,/w/index.php?title=Youri_Mikulchin&action=edit&redlink=1,,97.7453061,64.6863136
Toni Milanović,Croatia,Muay Thai,"Boldenone, salbutamol and methylhexanamine",/wiki/Toni_Milanovi%C4%87,1990-03-25,15.6575209,45.3658443
Harry Milanzi,Zambia,Football (soccer),Cannabis,/wiki/Harry_Milanzi,1978-03-13,27.5589884,-14.5189121
David Millar,United Kingdom,Cycling,Erythropoietin (EPO),/wiki/David_Millar,1977-01-04,,
Jarrell Miller,United States,Boxing,"GW501516, EPO, growth hormone",/wiki/Jarrell_Miller,1988-07-15,,
Sevdalin Minchev,Bulgaria,Weightlifting,Furosemide,/wiki/Sevdalin_Minchev,1974-07-25,25.4856617,42.6073975
Donka Mincheva,Bulgaria,Weightlifting,Steroids,/wiki/Donka_Mincheva,1973-05-09,25.4856617,42.6073975
Richa Mishra,India,Swimming,Methylhexaneamine,/w/index.php?title=Richa_Mishra&action=edit&redlink=1,,78.6677428,22.3511148
Victor Mitrov,Greece,Weightlifting,"Methyltrienolone, Buprenorphine",/w/index.php?title=Victor_Mitrov&action=edit&redlink=1,,21.9877132,38.9953683
Artak Mkrtchyan,Armenia,Weightlifting,Metandienone,/w/index.php?title=Artak_Mkrtchyan&action=edit&redlink=1,,44.6736646,40.7696272
Mostafa Mohamed,Egypt,Wrestling,Methylhexaneamine,/wiki/Mostafa_Mohamed_(wrestler),1985-08-18,29.2675469,26.2540493
Saufik Mohd,Malaysia,Weightlifting,Metandienone,/w/index.php?title=Saufik_Mohd&action=edit&redlink=1,,102.2656823,4.5693754
Denis Moiseev,Russia,Rowing,,/w/index.php?title=Denis_Moiseev&action=edit&redlink=1,,97.7453061,64.6863136
Fabiola Molina,Brazil,Swimming,Methylhexaneamine,/wiki/Fabiola_Molina,1975-05-22,-53.2,-10.3333333
Bjarne Møller,Denmark,Triathlon,Erythropoietin (EPO) (self-admitted),/w/index.php?title=Bjarne_M%C3%B8ller&action=edit&redlink=1,,10.3333283,55.670249
Claus Michael Møller,Denmark,Cycling,,/wiki/Claus_Michael_M%C3%B8ller,1968-10-03,10.3333283,55.670249
Miskander Momynbekov,Kyrgyzstan,Weightlifting,Stanozolol,/w/index.php?title=Miskander_Momynbekov&action=edit&redlink=1,,74.724091,41.5089324
Salvatore Monaco,Italy,Football (soccer),Nandrolone,"/w/index.php?title=Salvatore_Monaco_(footballer,_born_1972)&action=edit&redlink=1",,12.674297,42.6384261
Shane Monahan,United States,Baseball,"Deca-Durabolin, Winstrol & amphetamines Self-admitted in 2007, last played in minors 2003.",/wiki/Shane_Monahan,1974-08-12,,
Marisol Monasteriodos,Spain,Weightlifting,Heptaminol,/w/index.php?title=Marisol_Monasteriodos&action=edit&redlink=1,,-4.8379791,39.3260685
Gianpaolo Mondini,Italy,Cycling,Erythropoietin (EPO),/wiki/Gianpaolo_Mondini,1972-07-15,12.674297,42.6384261
Scott Moninger,United States,Cycling,19-norandrosterone,/wiki/Scott_Moninger,1966-10-20,,
Zachary Monsees,United States,Swimming,Cannabis,/w/index.php?title=Zachary_Monsees&action=edit&redlink=1,,,
Franck Montagny,France,Auto Racing,Cocaine,/wiki/Franck_Montagny,1978-01-05,1.8883335,46.603354
Agustin Montero,Dominican Republic,Baseball,,/wiki/Agustin_Montero,1977-08-26,,
Erik Morales,Mexico,Boxing,Clenbuterol,/wiki/Erik_Morales,1976-09-01,-102.0077097,23.6585116
Jarosław Morawiecki,Poland,Ice hockey,Testosterone,/wiki/Jaros%C5%82aw_Morawiecki,1964-03-11,19.134422,52.215933
Josh Moreau,United States,Weightlifting,Cannabinoids,/w/index.php?title=Josh_Moreau_(weightlifter)&action=edit&redlink=1,,,
Christophe Moreau,France,Cycling,Erythropoietin (EPO) (self admitted),/wiki/Christophe_Moreau,1971-04-12,1.8883335,46.603354
Rui Moreira,Portugal,Swimming,Cannabis,/w/index.php?title=Rui_Moreira_(swimmer)&action=edit&redlink=1,,-8.1353519,39.6621648
Cristian Moreni,Italy,Cycling,Testosterone,/wiki/Cristian_Moreni,1972-11-21,12.674297,42.6384261
María Isabel Moreno,Spain,Cycling,Erythropoietin (EPO),/wiki/Mar%C3%ADa_Isabel_Moreno,1981-01-02,-4.8379791,39.3260685
Alexander Morgunov,Russia,Swimming,"Norandrosterone, Noretiocholanolone",/w/index.php?title=Alexander_Morgunov&action=edit&redlink=1,,97.7453061,64.6863136
Franck Morland,France,Water polo,Cocaine,/w/index.php?title=Franck_Morland&action=edit&redlink=1,,1.8883335,46.603354
Niccolò Mornati,Italy,Rowing,Anastrozole,/wiki/Niccol%C3%B2_Mornati,1980-10-28,12.674297,42.6384261
Luca Moro,Italy,Auto racing,Benzoylecgonine,/wiki/Luca_Moro_(racing_driver),,12.674297,42.6384261
Daniel Moro Fernandez,Spain,Water polo,Cannabis,/w/index.php?title=Daniel_Moro_Fernandez&action=edit&redlink=1,,-4.8379791,39.3260685
Ivan Moro Fernandez,Spain,Water polo,Cannabis,/w/index.php?title=Ivan_Moro_Fernandez&action=edit&redlink=1,,-4.8379791,39.3260685
John Moroney,Ireland,Rugby,Cannabis,/wiki/John_Moroney,1945-10-28,-7.9794599,52.865196
Johnnie Morton,United States,Mixed martial arts,anabolic steroids,/wiki/Johnnie_Morton,1971-10-07,,
Mike Morse,United States,Baseball,Steroids,/wiki/Mike_Morse,1982-03-22,,
Ksenia Moskvina,Russia,Swimming,,/wiki/Ksenia_Moskvina,1989-05-29,97.7453061,64.6863136
Shane Mosley,United States,Boxing,"Tetrahydrogestrinone (THG, also known as ""the clear""), Erythropoietin (EPO), and The cream",/wiki/Shane_Mosley,1971-09-07,,
