name,country,sport,substance,webpage,date_of_birth,longitude,latitude
Keith Gurusinghe,Sri Lanka,Rugby union,Methylhexanamine,/w/index.php?title=Keith_Gurusinghe&action=edit&redlink=1,,,
Rebeca Gusmão,Brazil,Swimming,Testosterone; Tampering,/wiki/Rebeca_Gusm%C3%A3o,1984-08-24,-53.2,-10.3333333
Ferenc Gyurkovics,Hungary,Weightlifting,Oxandrolone,/wiki/Ferenc_Gyurkovics,1979-09-03,19.5060937,47.1817585
Milan Haborák,Slovakia,Shot put,"Human chorionic gonadotropin, steroids",/wiki/Milan_Habor%C3%A1k,1973-01-11,19.4528646,48.7411522
Beatriz Haddad Maia,Brazil,Tennis,Enobosarm and Ligandrol,/wiki/Beatriz_Haddad_Maia,1996-05-30,-53.2,-10.3333333
Zakari Hadiza,Nigeria,Weightlifting,"Stanozolol, Hydroxystanozolol",/w/index.php?title=Zakari_Hadiza&action=edit&redlink=1,,7.9999721,9.6000359
Hae-In Shin,South Korea,Swimming,Testosterone,/w/index.php?title=Hae-In_Shin&action=edit&redlink=1,,,
Noriyuki Haga,Japan,Motorcycle racing,Ephedrine,/wiki/Noriyuki_Haga,,139.2394179,36.5748441
Simona Halep,Romania,Tennis,Roxadustat,/wiki/Simona_Halep,1991-09-27,24.6859225,45.9852129
Alex Hales,England,Cricket,Recreational drugs,/wiki/Alex_Hales,1989-01-03,,
Carey Hall,Australia,Cycling,Steroids,/w/index.php?title=Carey_Hall&action=edit&redlink=1,,134.755,-24.7761086
Dennis Hallman,United States,Mixed martial arts,"Drostanolone, Nandrolone",/wiki/Dennis_Hallman,1975-12-02,,
Bo Hamburger,Denmark,Cycling,Erythropoietin (EPO) (admitted years after being cleared by CAS),/wiki/Bo_Hamburger,1970-05-24,10.3333283,55.670249
Tyler Hamilton,United States,Cycling,"Blood transfusions, EPO, Testosterone, DHEA (self-admitted)",/wiki/Tyler_Hamilton,1971-03-01,,
Morgan Hamm,United States,Gymnastics,Glucocorticosteroid (only given public warning),/wiki/Morgan_Hamm,1982-09-24,,
Mohammad Hanif,Pakistan,Bodybuilding,,/w/index.php?title=Mohammad_Hanif_(bodybuilder)&action=edit&redlink=1,,71.247499,30.3308401
Jessica Hardy,United States,Swimming,Clenbuterol,/wiki/Jessica_Hardy,1987-03-12,,
Badr Hari,Morocco,Kickboxing,,/wiki/Badr_Hari,1984-12-08,-7.3362482,31.1728205
Brad Harman,Australia,Baseball,Failing to advise authorities of whereabouts,/wiki/Brad_Harman,1985-11-19,134.755,-24.7761086
Justin Harrison,England,Rugby,,/wiki/Justin_Harrison,1974-04-20,,
Rodney Harrison,United States,American football,Human growth hormone,/wiki/Rodney_Harrison,1972-12-15,,
Matthew Hart,New Zealand,Cricket,Cannabis,/wiki/Matthew_Hart,1972-05-16,,
Naira Harutyunyan,Armenia,Weightlifting,Stanozolol,/w/index.php?title=Naira_Harutyunyan&action=edit&redlink=1,,44.6736646,40.7696272
Raza Hasan,Pakistan,Cricket,,/wiki/Raza_Hasan,1992-07-08,71.247499,30.3308401
Ricky Hatton,United Kingdom,Boxing,Cocaine,/wiki/Ricky_Hatton,1978-10-06,,
Gareth Head,Canada,Water polo,Cannabis,/w/index.php?title=Gareth_Head&action=edit&redlink=1,,-107.991707,61.0666922
Troy Hearfield,Australia,Football (soccer),Recreational drugs,/wiki/Troy_Hearfield,1987-10-31,134.755,-24.7761086
Edwin Hedberg,Sweden,Ice hockey,Sibutramine,/wiki/Edwin_Hedberg,1994-01-29,14.5208584,59.6749712
Yepremyan Heghine,Armenia,Weightlifting,Metandienone,/w/index.php?title=Yepremyan_Heghine&action=edit&redlink=1,,44.6736646,40.7696272
Christian Henn,Germany,Cycling,Erythropoietin (EPO) (self-admitted),/wiki/Christian_Henn,1964-02-01,10.4478313,51.1638175
Roberto Heras,Spain,Cycling,Erythropoietin (EPO),/wiki/Roberto_Heras,1974-02-01,-4.8379791,39.3260685
Aleksandra Herasimenia,Belarus,Swimming,Nandrolone,/wiki/Aleksandra_Herasimenia,1985-12-31,27.6971358,53.4250605
Félix Heredia,Dominican Republic,Baseball,Steroids,/wiki/F%C3%A9lix_Heredia,1975-06-18,,
Keith Hernandez,United States,Baseball,Cocaine,/wiki/Keith_Hernandez,1953-10-20,,
Vanessa Hernandez,France,Water polo,Cannabis,/w/index.php?title=Vanessa_Hernandez&action=edit&redlink=1,,1.8883335,46.603354
Pascal Herve,France,Cycling,Erythropoietin (EPO),/wiki/Pascal_Herve,1964-07-13,1.8883335,46.603354
