,name,country,sport,substance,webpage,date_of_birth,longitude,latitude
476,Ivailo Gabrovski,Bulgaria,Cycling,epo,/wiki/Ivailo_Gabrovski,1978-01-31,25.4856617,42.6073975
477,Al-Saadi Gaddafi,Libya,Football (soccer),nandrolone,/wiki/Al-Saadi_Gaddafi,1973-05-25,18.1236723,26.8234472
478,Éric Gagné,Canada,Baseball,human growth hormone,/wiki/%C3%89ric_Gagn%C3%A9,1976-01-07,-107.991707,61.0666922
479,Alexander Gaidukov,Russia,Water polo,carphedon,/wiki/Aleksandr_Gaidukov_(water_polo),1974-01-10,97.7453061,64.6863136
480,Aaron Galindo,Mexico,Football (soccer),nandrolone,/wiki/Aaron_Galindo,1982-05-08,-102.0077097,23.6585116
481,Luiza Galiulina,Uzbekistan,Gymnastics,furosemide,/wiki/Luiza_Galiulina,1992-06-23,63.9528098,41.32373
482,Gao Yanzhi,China,Weightlifting,,/w/index.php?title=Gao_Yanzhi&action=edit&redlink=1,,104.999927,35.000074
483,Ismael Garcia Bravo,Spain,Swimming,ephedrine,/w/index.php?title=Ismael_Garcia_Bravo&action=edit&redlink=1,,-4.8379791,39.3260685
484,Sergio Garcia Ortiz,Spain,Swimming,,/w/index.php?title=Sergio_Garcia_Ortiz&action=edit&redlink=1,,-4.8379791,39.3260685
485,Juan Garriga,Spain,Motorcycle racing,,/wiki/Juan_Garriga,,-4.8379791,39.3260685
486,Lukasz Gasior,Poland,Swimming,cannabis,/wiki/Lukasz_Gasior,1986-01-14,19.134422,52.215933
487,Richard Gasquet,France,Tennis,cocaine,/wiki/Richard_Gasquet,1986-06-18,1.8883335,46.603354
488,Stefano Garzelli,Italy,Cycling,probenecid,/wiki/Stefano_Garzelli,1973-07-16,12.674297,42.6384261
489,Philippe Gaumont,France,Cycling,erythropoietin,/wiki/Philippe_Gaumont,1973-02-22,1.8883335,46.603354
490,Michael Gausman,United States,Swimming,cannabinoids,/w/index.php?title=Michael_Gausman&action=edit&redlink=1,,,
491,Vikas Singh Gautam,France,Volleyball,steroids,/w/index.php?title=Vikas_Singh_Gautam&action=edit&redlink=1,,1.8883335,46.603354
492,Anzhelika Gavrilova,Kazakhstan,Speed skating,clenbuterol,/wiki/Anzhelika_Gavrilova,1978-04-14,66.7780818,48.1012954
493,Pauline Gendrier,France,Volleyball,cocaine,/w/index.php?title=Pauline_Gendrier&action=edit&redlink=1,,1.8883335,46.603354
494,Ivan Gertlein,Russia,Pole vaulting,dhea,/wiki/Ivan_Gertlein,1987-09-25,97.7453061,64.6863136
495,Sylvain Georges,France,Cycling,heptaminol,/wiki/Sylvain_Georges,1984-05-01,1.8883335,46.603354
496,Tihomir Georgiev,Bulgaria,Volleyball,cannabinoids,/w/index.php?title=Tihomir_Georgiev&action=edit&redlink=1,,25.4856617,42.6073975
497,Amanda Gerhart,Canada,Wrestling,refusal to submit to doping test,/w/index.php?title=Amanda_Gerhart&action=edit&redlink=1,,-107.991707,61.0666922
498,Dinko Geshev,Poland,Swimming,cannabis,/w/index.php?title=Dinko_Geshev&action=edit&redlink=1,,19.134422,52.215933
499,Ute Geweniger,East Germany,Swimming,turinabol,/wiki/Ute_Geweniger,1964-02-24,,
500,Alireza Gharibi,Iran,Wrestling,d-methamphetamine,/w/index.php?title=Alireza_Gharibi&action=edit&redlink=1,,54.5643516,32.6475314
501,Jason Giambi,United States,Baseball,"human growth hormone,steroids",/wiki/Jason_Giambi,1971-01-08,,
502,Jeremy Giambi,United States,Baseball,"human growth hormone,steroids",/wiki/Jeremy_Giambi,1974-09-30,,
503,Jay Gibbons,United States,Baseball,growth hormone,/wiki/Jay_Gibbons,1977-03-02,,
504,Lewis Gibbons,United Kingdom,Football (soccer),"benzoylecgonine,cannabis",/w/index.php?title=Lewis_Gibbons&action=edit&redlink=1,,,
505,Jack Gibbs,United Kingdom,Wheelchair basketball,,,,,
